# started on Wed Oct 18 19:07:12 2023

0.100166973,556143,,L1-icache-load-misses,51515969,51.00,,
0.100166973,5404861,,L1-dcache-load-misses,51534584,51.00,,
0.100166973,32025,,LLC-load-misses,51518601,51.00,,
0.100166973,641135,,LLC-store-misses,54128542,54.00,,
0.100166973,38009,,iTLB-load-misses,47911587,48.00,,
0.100166973,22862,,dTLB-load-misses,47896469,48.00,,
0.100166973,105768,,dTLB-store-misses,47915198,48.00,,
0.100166973,69185,,branch-misses,45313208,45.00,,
0.100166973,429014872,,instructions,53316906,53.00,,
0.200466753,475988,,L1-icache-load-misses,52289566,52.00,,
0.200466753,8687382,,L1-dcache-load-misses,54640658,54.00,,
0.200466753,5443,,LLC-load-misses,58637590,58.00,,
0.200466753,854264,,LLC-store-misses,59999895,59.00,,
0.200466753,25746,,iTLB-load-misses,47999910,47.00,,
0.200466753,20327,,dTLB-load-misses,45654876,45.00,,
0.200466753,98539,,dTLB-store-misses,41658052,41.00,,
0.200466753,28705,,branch-misses,40289787,40.00,,
0.200466753,620392851,,instructions,52289792,52.00,,
0.300786315,614151,,L1-icache-load-misses,58334572,58.00,,
0.300786315,19386129,,L1-dcache-load-misses,59981682,59.00,,
0.300786315,33802,,LLC-load-misses,59994869,59.00,,
0.300786315,1585837,,LLC-store-misses,57963541,57.00,,
0.300786315,52353,,iTLB-load-misses,41973729,41.00,,
0.300786315,53897,,dTLB-load-misses,40319308,40.00,,
0.300786315,278523,,dTLB-store-misses,40306085,40.00,,
0.300786315,66738,,branch-misses,42327369,42.00,,
0.300786315,365214045,,instructions,54318743,54.00,,
0.401055304,235036,,L1-icache-load-misses,59997011,59.00,,
0.401055304,55284911,,L1-dcache-load-misses,58233173,58.00,,
0.401055304,100505,,LLC-load-misses,54236114,54.00,,
0.401055304,425730,,LLC-store-misses,52270149,52.00,,
0.401055304,12628,,iTLB-load-misses,40271960,40.00,,
0.401055304,33872,,dTLB-load-misses,42025463,41.00,,
